endpoint,method,handler_file,auth_required,role_required
/api/,USE,server/dist/server.js,True,
/api/v1/orders/voice,USE,server/dist/server.js,True,
/api/v1,USE,server/dist/server.js,True,
/api/v1/ai,USE,server/dist/server.js,True,
/api/v1/realtime,USE,server/dist/server.js,True,
/api/,USE,server/dist/server/src/server.js,True,
/api/v1/orders/voice,USE,server/dist/server/src/server.js,True,
/api/v1,USE,server/dist/server/src/server.js,True,
/api/v1/ai,USE,server/dist/server/src/server.js,True,
/api/v1/realtime,USE,server/dist/server/src/server.js,True,
/api/voice/debug,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/sessions,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/metrics,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/transcripts,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/functions,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/errors,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/test,POST,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/inject,POST,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/clear,POST,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/export,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/voice/debug/audio/:sessionId,GET,server/dist/server/src/voice/debug-dashboard.js,False,
/api/v1/menu,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,
/api/v1/tables,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,
/api/v1/restaurants,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,
/api/v1/auth,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,
/api/v1/realtime,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,
/api/v1/terminal,USE,server/dist/server/src/routes/__tests__/rctx-comprehensive.test.js,True,
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,
/api/v1/payments,USE,server/dist/server/src/routes/__tests__/payments.test.js,False,
/api/v1/ai,USE,server/dist/server/src/routes/__tests__/ai.health.test.js,True,
/api/,USE,server/dist/server/src/routes/__tests__/security.test.js,False,
/api/v1/orders/voice,USE,server/dist/server/src/routes/__tests__/security.test.js,False,
/api/v1,USE,server/dist/server/src/routes/__tests__/security.test.js,False,
/api/v1/orders,USE,server/dist/server/src/routes/__tests__/orders.rctx.test.js,True,
/api/v1,USE,server/dist/server/src/routes/__tests__/table-payment.routes.test.js,False,
/api/voice/debug,GET,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/sessions,GET,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/metrics,GET,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/transcripts,GET,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/functions,GET,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/errors,GET,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/test,POST,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/inject,POST,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/clear,POST,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/export,GET,server/dist/voice/debug-dashboard.js,False,
/api/voice/debug/audio/:sessionId,GET,server/dist/voice/debug-dashboard.js,False,
/api/v1/orders,POST,server/tests/integration/tenancy.spec.ts,True,"DatabaseRole.OWNER, DatabaseRole.MANAGER, DatabaseRole.SERVER, DatabaseRole.CUSTOMER"
/api/,USE,server/src/server.ts,True,'admin'
/api/v1/orders/voice,USE,server/src/server.ts,True,'admin'
/api/v1,USE,server/src/server.ts,True,'admin'
/api/v1/ai,USE,server/src/server.ts,True,'admin'
/api/v1/realtime,USE,server/src/server.ts,True,'admin'
/api/voice/debug,GET,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/sessions,GET,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/metrics,GET,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/transcripts,GET,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/functions,GET,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/errors,GET,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/test,POST,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/inject,POST,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/clear,POST,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/export,GET,server/src/voice/debug-dashboard.ts,False,
/api/voice/debug/audio/:sessionId,GET,server/src/voice/debug-dashboard.ts,False,
/api/,USE,server/src/routes/__tests__/security.test.ts,False,
/api/v1/orders/voice,USE,server/src/routes/__tests__/security.test.ts,False,
/api/v1,USE,server/src/routes/__tests__/security.test.ts,False,
/api/v1/ai,USE,server/src/routes/__tests__/ai.health.test.ts,True,
/api/v1,USE,server/src/routes/__tests__/table-payment.routes.test.ts,False,
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,
/api/v1/payments,USE,server/src/routes/__tests__/payments.test.ts,False,
